i,k,v
952,581,1.0
1183,581,-1.0
1184,581,1.0
631,582,-1.0
952,582,1.0
981,582,1.0
1214,582,-1.0
73,583,-1.0
952,583,-1.0
1185,583,1.0
1186,583,-1.0
1501,583,1.0
73,584,1.0
456,584,-1.0
946,584,2.0
952,584,1.0
1394,584,-1.0
632,585,-1.0
952,585,-1.0
1185,585,1.0
1186,585,-1.0
1503,585,1.0
354,586,1.0
459,586,-1.0
632,586,1.0
639,586,-1.0
882,586,-1.0
952,586,1.0
1331,586,1.0
129,587,1.0
529,587,1.0
634,587,-1.0
952,587,-1.0
1234,587,-1.0
1350,587,1.0
273,588,1.0
635,588,-1.0
844,588,1.0
636,589,-1.0
1244,589,1.0
1397,589,-1.0
1398,589,1.0
636,590,-1.0
1151,590,1.0
1152,590,-1.0
1244,590,1.0
480,591,1.0
636,591,-1.0
946,591,-1.0
952,591,1.0
501,592,-1.0
638,592,1.0
952,592,1.0
1183,592,-1.0
1184,592,1.0
79,593,-1.0
260,593,1.0
946,593,-1.0
952,593,-1.0
1188,593,1.0
238,594,-1.0
274,594,-1.0
639,594,1.0
1350,594,1.0
640,595,-1.0
946,595,1.0
984,595,1.0
366,596,-1.0
633,596,1.0
116,597,-1.0
176,597,1.0
1331,597,1.0
176,598,-1.0
177,598,1.0
946,598,1.0
643,599,-1.0
644,599,1.0
645,600,1.0
647,600,-1.0
952,600,1.0
954,600,-1.0
646,601,-1.0
647,601,1.0
78,602,-1.0
126,602,1.0
952,602,-1.0
1185,602,1.0
1186,602,-1.0
78,603,-1.0
262,603,1.0
952,603,-1.0
1183,603,1.0
1184,603,-1.0
78,604,-1.0
262,604,1.0
952,604,-1.0
1185,604,1.0
1186,604,-1.0
138,605,1.0
649,605,-1.0
765,605,1.0
946,605,-1.0
952,605,2.0
1214,605,-1.0
1331,605,1.0
138,606,1.0
649,606,-1.0
765,606,1.0
946,606,-3.0
952,606,4.0
1183,606,-2.0
1184,606,2.0
1331,606,1.0
652,607,-1.0
920,607,1.0
1025,607,-1.0
1350,607,1.0
652,608,1.0
942,608,-1.0
946,608,1.0
952,608,-1.0
1183,608,1.0
1184,608,-1.0
151,609,-1.0
365,609,1.0
397,609,-1.0
952,609,1.0
1398,609,1.0
653,610,1.0
656,610,-1.0
946,610,1.0
1151,610,-1.0
1152,610,1.0
655,611,1.0
658,611,-1.0
948,611,1.0
1151,611,-1.0
1152,611,1.0
128,612,1.0
129,612,-1.0
653,612,1.0
656,612,-1.0
946,612,1.0
128,613,1.0
129,613,-1.0
655,613,1.0
658,613,-1.0
948,613,1.0
657,614,-1.0
658,614,1.0
654,615,-1.0
655,615,1.0
244,616,-1.0
266,617,-1.0
290,618,-1.0
984,619,-1.0
1247,620,-1.0
635,621,1.0
637,621,-1.0
946,621,-1.0
1331,621,1.0
366,622,-1.0
637,622,1.0
946,622,-1.0
952,622,1.0
1350,622,1.0
76,623,-1.0
174,623,1.0
952,623,-1.0
1183,623,1.0
1184,623,-1.0
660,624,-1.0
661,624,1.0
354,625,1.0
459,625,-1.0
532,625,1.0
662,625,-1.0
952,625,1.0
127,626,-1.0
952,626,-1.0
1185,626,1.0
1186,626,-1.0
1269,626,1.0
131,627,-1.0
300,627,1.0
790,627,1.0
663,628,1.0
664,628,-1.0
1397,628,-1.0
1398,628,1.0
663,629,1.0
664,629,-1.0
1151,629,1.0
1152,629,-1.0
665,630,-1.0
666,630,1.0
928,630,1.0
931,630,-2.0
667,631,-1.0
668,631,1.0
1531,631,1.0
1532,631,-1.0
669,632,-1.0
670,632,1.0
928,632,1.0
931,632,-2.0
113,633,1.0
952,633,1.0
1185,633,-1.0
1186,633,1.0
1432,633,-1.0
952,634,1.0
954,634,-1.0
1432,634,1.0
1434,634,-1.0
1433,635,-1.0
1434,635,1.0
354,636,1.0
459,636,-1.0
677,636,1.0
680,636,-1.0
681,637,-1.0
682,637,1.0
686,638,-1.0
687,638,1.0
354,639,1.0
459,639,-1.0
685,639,1.0
688,639,-1.0
952,639,1.0
130,640,1.0
688,640,-1.0
1331,640,-1.0
1630,640,1.0
688,641,1.0
690,641,-1.0
952,641,1.0
954,641,-1.0
689,642,-1.0
690,642,1.0
685,643,1.0
691,643,-1.0
946,643,-1.0
952,643,1.0
1350,643,1.0
142,644,1.0
692,644,-1.0
952,644,-1.0
1185,644,1.0
1186,644,-1.0
529,645,1.0
692,645,1.0
790,645,-1.0
952,645,-1.0
1394,645,-1.0
354,646,1.0
459,646,-1.0
692,646,1.0
693,646,-1.0
952,646,1.0
952,647,1.0
954,647,-1.0
1042,647,1.0
1044,647,-1.0
1043,648,-1.0
1044,648,1.0
253,649,1.0
694,649,-1.0
946,649,-1.0
952,649,2.0
1183,649,-1.0
1184,649,1.0
599,650,1.0
952,650,-1.0
1183,650,1.0
1184,650,-1.0
1499,650,-1.0
599,651,1.0
952,651,-1.0
1185,651,1.0
1186,651,-1.0
1499,651,-1.0
614,652,1.0
952,652,-1.0
1183,652,1.0
1184,652,-1.0
1497,652,-1.0
614,653,1.0
952,653,-1.0
1185,653,1.0
1186,653,-1.0
1497,653,-1.0
491,654,1.0
952,654,-1.0
1183,654,1.0
1184,654,-1.0
1480,654,-1.0
491,655,1.0
952,655,-1.0
1185,655,1.0
1186,655,-1.0
1480,655,-1.0
952,656,-1.0
1172,656,1.0
1183,656,1.0
1184,656,-1.0
1527,656,-1.0
952,657,-1.0
1172,657,1.0
1185,657,1.0
1186,657,-1.0
1527,657,-1.0
952,658,-1.0
1183,658,1.0
1184,658,-1.0
1481,658,-1.0
1498,658,1.0
952,659,-1.0
1185,659,1.0
1186,659,-1.0
1481,659,-1.0
1498,659,1.0
952,660,-1.0
1183,660,1.0
1184,660,-1.0
1267,660,1.0
1530,660,-1.0
952,661,-1.0
1185,661,1.0
1186,661,-1.0
1267,661,1.0
1530,661,-1.0
952,662,-1.0
967,662,1.0
1183,662,1.0
1184,662,-1.0
1482,662,-1.0
952,663,-1.0
967,663,1.0
1185,663,1.0
1186,663,-1.0
1482,663,-1.0
952,664,-1.0
1183,664,1.0
1184,664,-1.0
1224,664,1.0
1529,664,-1.0
952,665,-1.0
1185,665,1.0
1186,665,-1.0
1224,665,1.0
1529,665,-1.0
952,666,-1.0
1183,666,1.0
1184,666,-1.0
1235,666,1.0
1479,666,-1.0
952,667,-1.0
1185,667,1.0
1186,667,-1.0
1235,667,1.0
1479,667,-1.0
468,668,-1.0
469,668,1.0
952,668,-1.0
1183,668,1.0
1184,668,-1.0
468,669,-1.0
469,669,1.0
952,669,-1.0
1185,669,1.0
1186,669,-1.0
952,670,-1.0
969,670,1.0
1183,670,1.0
1184,670,-1.0
1502,670,-1.0
952,671,-1.0
969,671,1.0
1185,671,1.0
1186,671,-1.0
1502,671,-1.0
952,672,-1.0
1183,672,1.0
1184,672,-1.0
1222,672,1.0
1528,672,-1.0
952,673,-1.0
1185,673,1.0
1186,673,-1.0
1222,673,1.0
1528,673,-1.0
697,674,1.0
698,674,-1.0
538,675,-1.0
698,675,1.0
699,675,-1.0
954,675,1.0
1600,675,1.0
695,676,1.0
954,676,1.0
1600,676,1.0
1628,676,-2.0
695,677,-1.0
696,677,1.0
954,677,1.0
1600,677,1.0
1628,677,-1.0
696,678,-1.0
699,678,1.0
954,678,1.0
1600,678,1.0
1628,678,-1.0
1627,679,-1.0
1628,679,1.0
181,680,-1.0
460,680,1.0
946,680,1.0
193,681,-1.0
946,681,1.0
992,681,1.0
197,682,-1.0
946,682,1.0
1221,682,1.0
189,683,-1.0
598,683,1.0
946,683,1.0
190,684,-1.0
613,684,1.0
946,684,1.0
205,685,-1.0
946,685,1.0
1495,685,1.0
194,686,-1.0
946,686,1.0
966,686,1.0
200,687,-1.0
946,687,1.0
1236,687,1.0
119,688,-1.0
790,688,1.0
1394,688,1.0
119,689,1.0
275,689,-1.0
946,689,1.0
278,690,1.0
614,690,-1.0
1033,690,1.0
1034,690,-1.0
278,691,1.0
1033,691,-1.0
1058,691,1.0
1172,691,-1.0
278,692,1.0
967,692,-1.0
1034,692,-1.0
1037,692,1.0
278,693,1.0
1037,693,-1.0
1059,693,1.0
1172,693,-1.0
701,694,1.0
702,694,-1.0
156,695,-1.0
946,695,1.0
1289,695,1.0
71,696,-3.0
400,696,6.0
703,696,1.0
952,696,9.0
1438,696,-3.0
72,697,3.0
703,697,-1.0
946,697,-3.0
952,697,3.0
72,698,3.0
730,698,1.0
750,698,-1.0
946,698,-3.0
952,698,3.0
300,699,1.0
706,699,-1.0
1188,699,1.0
706,700,1.0
708,700,-1.0
952,700,1.0
954,700,-1.0
707,701,-1.0
708,701,1.0
354,702,1.0
459,702,-1.0
709,702,1.0
711,702,-1.0
946,702,-1.0
952,702,1.0
1331,702,1.0
710,703,-1.0
711,703,1.0
712,704,1.0
714,704,-1.0
952,704,1.0
954,704,-1.0
713,705,-1.0
714,705,1.0
17,706,-1.0
20,707,-1.0
24,708,-1.0
27,709,-1.0
58,710,-1.0
60,711,-1.0
62,712,-1.0
64,713,-1.0
67,714,-1.0
82,715,-1.0
121,716,-1.0
164,717,-1.0
167,718,-1.0
172,719,-1.0
178,720,-1.0
184,721,-1.0
203,722,-1.0
232,723,-1.0
235,724,-1.0
246,725,-1.0
263,726,-1.0
280,727,-1.0
283,728,-1.0
295,729,-1.0
298,730,-1.0
301,731,-1.0
308,732,-1.0
310,733,-1.0
313,734,-1.0
317,735,-1.0
323,736,-1.0
327,737,-1.0
330,738,-1.0
332,739,-1.0
339,740,-1.0
344,741,-1.0
347,742,-1.0
352,743,-1.0
360,744,-1.0
363,745,-1.0
370,746,-1.0
373,747,-1.0
376,748,-1.0
379,749,-1.0
382,750,-1.0
388,751,-1.0
391,752,-1.0
401,753,-1.0
408,754,-1.0
427,755,-1.0
435,756,-1.0
432,757,-1.0
438,758,-1.0
443,759,-1.0
446,760,-1.0
450,761,-1.0
454,762,-1.0
471,763,-1.0
474,764,-1.0
477,765,-1.0
482,766,-1.0
485,767,-1.0
489,768,-1.0
504,769,-1.0
507,770,-1.0
512,771,-1.0
517,772,-1.0
527,773,-1.0
530,774,-1.0
534,775,-1.0
537,776,-1.0
547,777,-1.0
544,778,-1.0
554,779,-1.0
558,780,-1.0
565,781,-1.0
568,782,-1.0
571,783,-1.0
574,784,-1.0
577,785,-1.0
580,786,-1.0
585,787,-1.0
588,788,-1.0
593,789,-1.0
601,790,-1.0
607,791,-1.0
611,792,-1.0
616,793,-1.0
621,794,-1.0
624,795,-1.0
628,796,-1.0
643,797,-1.0
646,798,-1.0
654,799,-1.0
657,800,-1.0
660,801,-1.0
681,802,-1.0
686,803,-1.0
689,804,-1.0
697,805,-1.0
701,806,-1.0
704,807,-1.0
707,808,-1.0
710,809,-1.0
713,810,-1.0
717,811,-1.0
722,812,-1.0
728,813,-1.0
731,814,-1.0
733,815,-1.0
736,816,-1.0
742,817,-1.0
739,818,-1.0
748,819,-1.0
745,820,-1.0
751,821,-1.0
757,822,-1.0
754,823,-1.0
766,824,-1.0
772,825,-1.0
775,826,-1.0
779,827,-1.0
782,828,-1.0
785,829,-1.0
788,830,-1.0
792,831,-1.0
795,832,-1.0
798,833,-1.0
801,834,-1.0
804,835,-1.0
807,836,-1.0
811,837,-1.0
816,838,-1.0
813,839,-1.0
819,840,-1.0
822,841,-1.0
825,842,-1.0
828,843,-1.0
831,844,-1.0
835,845,-1.0
837,846,-1.0
842,847,-1.0
846,848,-1.0
861,849,-1.0
864,850,-1.0
867,851,-1.0
869,852,-1.0
872,853,-1.0
875,854,-1.0
883,855,-1.0
889,856,-1.0
892,857,-1.0
895,858,-1.0
897,859,-1.0
900,860,-1.0
906,861,-1.0
903,862,-1.0
909,863,-1.0
917,864,-1.0
924,865,-1.0
927,866,-1.0
930,867,-1.0
933,868,-1.0
937,869,-1.0
940,870,-1.0
944,871,-1.0
947,872,-1.0
950,873,-1.0
953,874,-1.0
955,875,-1.0
956,876,-1.0
960,877,-1.0
963,878,-1.0
971,879,-1.0
975,880,-1.0
987,881,-1.0
994,882,-1.0
997,883,-1.0
1005,884,-1.0
1009,885,-1.0
1014,886,-1.0
1017,887,-1.0
1020,888,-1.0
1023,889,-1.0
1027,890,-1.0
1031,891,-1.0
1035,892,-1.0
1043,893,-1.0
1046,894,-1.0
1051,895,-1.0
1054,896,-1.0
1062,897,-1.0
1060,898,-1.0
1069,899,-1.0
1073,900,-1.0
1077,901,-1.0
1080,902,-1.0
1085,903,-1.0
1089,904,-1.0
1092,905,-1.0
1095,906,-1.0
1098,907,-1.0
1102,908,-1.0
1106,909,-1.0
1109,910,-1.0
1112,911,-1.0
1116,912,-1.0
1119,913,-1.0
1123,914,-1.0
1126,915,-1.0
1130,916,-1.0
1134,917,-1.0
1140,918,-1.0
1143,919,-1.0
1146,920,-1.0
1149,921,-1.0
1154,922,-1.0
1174,923,-1.0
1178,924,-1.0
1181,925,-1.0
1189,926,-1.0
1192,927,-1.0
1196,928,-1.0
1199,929,-1.0
1202,930,-1.0
1205,931,-1.0
1209,932,-1.0
1215,933,-1.0
1218,934,-1.0
1226,935,-1.0
1229,936,-1.0
1232,937,-1.0
1241,938,-1.0
1245,939,-1.0
1265,940,-1.0
1287,941,-1.0
1320,942,-1.0
1323,943,-1.0
1332,944,-1.0
1337,945,-1.0
1340,946,-1.0
1343,947,-1.0
1355,948,-1.0
1357,949,-1.0
1366,950,-1.0
1369,951,-1.0
1381,952,-1.0
1384,953,-1.0
1387,954,-1.0
1395,955,-1.0
1403,956,-1.0
1411,957,-1.0
1417,958,-1.0
1425,959,-1.0
1433,960,-1.0
1436,961,-1.0
1444,962,-1.0
1449,963,-1.0
1452,964,-1.0
1455,965,-1.0
1458,966,-1.0
1466,967,-1.0
1473,968,-1.0
1477,969,-1.0
1487,970,-1.0
1490,971,-1.0
1493,972,-1.0
1505,973,-1.0
1510,974,-1.0
1512,975,-1.0
1516,976,-1.0
1519,977,-1.0
1522,978,-1.0
1525,979,-1.0
1535,980,-1.0
1559,981,-1.0
1563,982,-1.0
1566,983,-1.0
1569,984,-1.0
1572,985,-1.0
1574,986,-1.0
1577,987,-1.0
1579,988,-1.0
1591,989,-1.0
1607,990,-1.0
1610,991,-1.0
1613,992,-1.0
1617,993,-1.0
1623,994,-1.0
1631,995,-1.0
1636,996,-1.0
1639,997,-1.0
1643,998,-1.0
1647,999,-1.0
1651,1000,-1.0
1655,1001,-1.0
1660,1002,-1.0
1664,1003,-1.0
1667,1004,-1.0
1,1005,-0.000223
149,1005,-0.000223
354,1005,59.81
378,1005,-0.5137
397,1005,-0.000223
437,1005,-0.2958
445,1005,-0.2411
453,1005,-0.2411
459,1005,-59.984
476,1005,-0.004737
516,1005,-0.004737
532,1005,-0.000576
533,1005,-0.003158
563,1005,-0.1335
564,1005,-0.003158
579,1005,-0.09158
596,1005,-0.02617
609,1005,-0.02702
626,1005,-0.02702
683,1005,-0.02617
719,1005,-0.000223
727,1005,-0.007106
730,1005,-0.007106
874,1005,-0.2632
882,1005,-0.2632
888,1005,-0.6126
932,1005,-0.2151
946,1005,-54.462
952,1005,59.81
974,1005,-0.09474
1008,1005,-0.2905
1030,1005,-0.1776
1035,1005,-0.01945
1053,1005,-0.4505
1068,1005,-0.3432
1118,1005,-0.1537
1129,1005,-0.007895
1136,1005,-0.000223
1142,1005,-0.003158
1148,1005,-0.003158
1170,1005,-0.01389
1183,1005,-0.001831
1185,1005,-0.000447
1188,1005,-0.011843
1279,1005,-0.02233
1280,1005,-0.04148
1281,1005,-0.02632
1282,1005,-0.04889
1319,1005,-0.1759
1322,1005,-0.000223
1331,1005,59.806
1350,1005,0.7739
1365,1005,-0.2211
1391,1005,-0.000223
1413,1005,-0.000223
1435,1005,-0.2158
1441,1005,-0.000223
1454,1005,-0.003948
1503,1005,-0.000223
1508,1005,-0.000223
1509,1005,-0.2537
1558,1005,-0.05684
1576,1005,-0.1379
1599,1005,-5.5e-5
1641,1005,-0.1441
1642,1005,-0.4232
1666,1005,-0.003158
627,1006,1.0
716,1006,-1.0
790,1006,1.0
716,1007,-1.0
771,1007,1.0
946,1007,-1.0
1331,1007,1.0
716,1008,1.0
718,1008,-1.0
1331,1008,-2.0
1333,1008,2.0
717,1009,-1.0
718,1009,1.0
278,1010,1.0
599,1010,-1.0
600,1010,1.0
946,1010,-1.0
952,1010,1.0
278,1011,1.0
614,1011,-1.0
615,1011,1.0
946,1011,-1.0
952,1011,1.0
278,1012,1.0
946,1012,-1.0
952,1012,1.0
1172,1012,-1.0
1565,1012,1.0
278,1013,1.0
946,1013,-1.0
952,1013,1.0
1498,1013,-1.0
1568,1013,1.0
278,1014,1.0
946,1014,-1.0
952,1014,1.0
959,1014,1.0
1267,1014,-1.0
278,1015,1.0
946,1015,-1.0
952,1015,1.0
962,1015,1.0
967,1015,-1.0
278,1016,1.0
946,1016,-1.0
952,1016,1.0
1222,1016,-1.0
1231,1016,1.0
532,1017,1.0
600,1017,1.0
603,1017,-1.0
946,1017,-1.0
952,1017,1.0
532,1018,1.0
615,1018,1.0
618,1018,-1.0
946,1018,-1.0
952,1018,1.0
532,1019,1.0
946,1019,-1.0
952,1019,1.0
1496,1019,-1.0
1565,1019,1.0
532,1020,1.0
946,1020,-1.0
952,1020,1.0
1500,1020,-1.0
1568,1020,1.0
532,1021,1.0
946,1021,-1.0
952,1021,1.0
959,1021,1.0
1335,1021,-1.0
532,1022,1.0
946,1022,-1.0
952,1022,1.0
962,1022,1.0
965,1022,-1.0
532,1023,1.0
946,1023,-1.0
952,1023,1.0
1225,1023,1.0
1461,1023,-1.0
532,1024,1.0
946,1024,-1.0
952,1024,1.0
1228,1024,1.0
1237,1024,-1.0
532,1025,1.0
946,1025,-1.0
952,1025,1.0
993,1025,1.0
999,1025,-1.0
532,1026,1.0
946,1026,-1.0
952,1026,1.0
1223,1026,-1.0
1231,1026,1.0
400,1027,1.0
459,1027,-1.0
532,1027,-1.0
602,1027,-1.0
603,1027,1.0
952,1027,1.0
954,1027,-1.0
1350,1027,1.0
400,1028,1.0
459,1028,-1.0
532,1028,-1.0
617,1028,-1.0
618,1028,1.0
952,1028,1.0
954,1028,-1.0
1350,1028,1.0
400,1029,1.0
459,1029,-1.0
532,1029,-1.0
952,1029,1.0
954,1029,-1.0
1350,1029,1.0
1496,1029,1.0
1567,1029,-1.0
400,1030,1.0
459,1030,-1.0
532,1030,-1.0
952,1030,1.0
954,1030,-1.0
1350,1030,1.0
1500,1030,1.0
1570,1030,-1.0
400,1031,1.0
459,1031,-1.0
532,1031,-1.0
952,1031,1.0
954,1031,-1.0
961,1031,-1.0
1335,1031,1.0
1350,1031,1.0
400,1032,1.0
459,1032,-1.0
532,1032,-1.0
952,1032,1.0
954,1032,-1.0
964,1032,-1.0
965,1032,1.0
1350,1032,1.0
400,1033,1.0
459,1033,-1.0
532,1033,-1.0
952,1033,1.0
954,1033,-1.0
1227,1033,-1.0
1350,1033,1.0
1461,1033,1.0
400,1034,1.0
459,1034,-1.0
532,1034,-1.0
952,1034,1.0
954,1034,-1.0
1230,1034,-1.0
1237,1034,1.0
1350,1034,1.0
400,1035,1.0
459,1035,-1.0
532,1035,-1.0
952,1035,1.0
954,1035,-1.0
995,1035,-1.0
999,1035,1.0
1350,1035,1.0
400,1036,1.0
459,1036,-1.0
532,1036,-1.0
952,1036,1.0
954,1036,-1.0
1223,1036,1.0
1233,1036,-1.0
1350,1036,1.0
719,1037,-1.0
720,1037,1.0
952,1037,-1.0
1183,1037,1.0
1184,1037,-1.0
719,1038,-1.0
720,1038,1.0
952,1038,-1.0
1185,1038,1.0
1186,1038,-1.0
289,1039,1.0
952,1039,1.0
985,1039,-1.0
1183,1039,-1.0
1184,1039,1.0
722,1040,-1.0
723,1040,1.0
721,1041,1.0
723,1041,-1.0
721,1042,-1.0
929,1042,-1.0
985,1042,1.0
630,1043,1.0
726,1043,-1.0
790,1043,1.0
716,1044,1.0
726,1044,-1.0
946,1044,-1.0
1331,1044,1.0
725,1045,1.0
781,1045,-1.0
354,1046,1.0
459,1046,-1.0
724,1046,1.0
725,1046,-1.0
952,1046,1.0
630,1047,1.0
724,1047,-1.0
1049,1047,1.0
727,1048,-1.0
952,1048,2.0
1322,1048,1.0
1351,1048,-1.0
529,1049,1.0
767,1049,-1.0
952,1049,-2.0
954,1049,1.0
1397,1049,-1.0
1398,1049,1.0
529,1050,1.0
767,1050,-1.0
952,1050,-2.0
954,1050,1.0
1151,1050,1.0
1152,1050,-1.0
763,1051,1.0
764,1051,-1.0
844,1051,1.0
946,1051,1.0
952,1051,1.0
1026,1051,-1.0
1214,1051,-1.0
1451,1051,1.0
721,1052,1.0
763,1052,1.0
764,1052,-1.0
946,1052,1.0
952,1052,1.0
1153,1052,-1.0
1214,1052,-1.0
1451,1052,1.0
300,1053,1.0
709,1053,-1.0
763,1053,1.0
764,1053,-1.0
946,1053,1.0
952,1053,1.0
1214,1053,-1.0
1451,1053,1.0
464,1054,1.0
473,1054,-1.0
763,1054,1.0
764,1054,-1.0
946,1054,1.0
952,1054,1.0
1214,1054,-1.0
1451,1054,1.0
763,1055,1.0
764,1055,-1.0
887,1055,1.0
946,1055,1.0
952,1055,1.0
1214,1055,-1.0
1451,1055,1.0
1476,1055,-1.0
354,1056,1.0
459,1056,-1.0
727,1056,1.0
729,1056,-1.0
946,1056,-1.0
952,1056,1.0
1331,1056,1.0
727,1057,1.0
729,1057,-1.0
952,1057,1.0
954,1057,-1.0
727,1058,-1.0
729,1058,1.0
952,1058,1.0
954,1058,-1.0
728,1059,-1.0
729,1059,1.0
727,1060,1.0
729,1060,-1.0
354,1061,1.0
459,1061,-1.0
511,1061,2.0
730,1061,1.0
734,1061,-1.0
946,1061,-1.0
952,1061,1.0
1331,1061,1.0
733,1062,-1.0
734,1062,1.0
952,1062,1.0
954,1062,-1.0
72,1063,1.0
730,1063,1.0
735,1063,-1.0
354,1064,1.0
459,1064,-1.0
735,1064,1.0
737,1064,-1.0
946,1064,-1.0
952,1064,1.0
1331,1064,1.0
736,1065,-1.0
737,1065,1.0
952,1065,1.0
954,1065,-1.0
719,1066,1.0
720,1066,-1.0
727,1066,2.0
738,1066,2.0
741,1066,-2.0
952,1066,2.0
727,1067,2.0
738,1067,2.0
741,1067,-2.0
763,1067,1.0
764,1067,-1.0
952,1067,2.0
727,1068,2.0
738,1068,2.0
741,1068,-2.0
952,1068,2.0
1406,1068,-1.0
1413,1068,1.0
738,1069,-1.0
740,1069,1.0
952,1069,1.0
954,1069,-1.0
739,1070,1.0
740,1070,-1.0
952,1070,1.0
954,1070,-1.0
354,1071,1.0
459,1071,-1.0
741,1071,1.0
743,1071,-1.0
946,1071,-1.0
952,1071,1.0
1331,1071,1.0
731,1072,-1.0
739,1072,-1.0
742,1072,1.0
742,1073,-1.0
743,1073,1.0
952,1073,1.0
954,1073,-1.0
719,1074,1.0
720,1074,-1.0
727,1074,2.0
730,1074,-2.0
952,1074,2.0
354,1075,1.0
459,1075,-1.0
730,1075,1.0
732,1075,-1.0
946,1075,-1.0
952,1075,1.0
1331,1075,1.0
731,1076,-1.0
732,1076,1.0
719,1077,1.0
720,1077,-1.0
727,1077,2.0
744,1077,2.0
747,1077,-2.0
952,1077,2.0
727,1078,2.0
744,1078,2.0
747,1078,-2.0
763,1078,1.0
764,1078,-1.0
952,1078,2.0
727,1079,2.0
744,1079,2.0
747,1079,-2.0
952,1079,2.0
1406,1079,-1.0
1413,1079,1.0
745,1080,1.0
746,1080,-1.0
952,1080,1.0
954,1080,-1.0
744,1081,-1.0
746,1081,1.0
952,1081,1.0
954,1081,-1.0
354,1082,1.0
459,1082,-1.0
747,1082,1.0
749,1082,-1.0
946,1082,-1.0
952,1082,1.0
1331,1082,1.0
731,1083,-1.0
745,1083,-1.0
748,1083,1.0
748,1084,-1.0
749,1084,1.0
952,1084,1.0
954,1084,-1.0
703,1085,2.0
719,1085,1.0
720,1085,-1.0
727,1085,2.0
750,1085,-2.0
952,1085,2.0
703,1086,2.0
727,1086,2.0
750,1086,-2.0
763,1086,1.0
764,1086,-1.0
952,1086,2.0
703,1087,2.0
727,1087,2.0
750,1087,-2.0
952,1087,2.0
1406,1087,-1.0
1413,1087,1.0
354,1088,1.0
459,1088,-1.0
750,1088,1.0
752,1088,-1.0
946,1088,-1.0
952,1088,1.0
1331,1088,1.0
704,1089,-1.0
731,1089,-1.0
751,1089,1.0
704,1090,1.0
705,1090,-1.0
952,1090,1.0
954,1090,-1.0
751,1091,-1.0
752,1091,1.0
952,1091,1.0
954,1091,-1.0
703,1092,-1.0
705,1092,1.0
952,1092,1.0
954,1092,-1.0
719,1093,1.0
720,1093,-1.0
727,1093,2.0
753,1093,2.0
756,1093,-2.0
952,1093,2.0
727,1094,2.0
753,1094,2.0
756,1094,-2.0
763,1094,1.0
764,1094,-1.0
952,1094,2.0
727,1095,2.0
753,1095,2.0
756,1095,-2.0
952,1095,2.0
1406,1095,-1.0
1413,1095,1.0
754,1096,1.0
755,1096,-1.0
952,1096,1.0
954,1096,-1.0
753,1097,-1.0
755,1097,1.0
952,1097,1.0
954,1097,-1.0
354,1098,1.0
459,1098,-1.0
756,1098,1.0
758,1098,-1.0
946,1098,-1.0
952,1098,1.0
1331,1098,1.0
731,1099,-1.0
754,1099,-1.0
757,1099,1.0
757,1100,-1.0
758,1100,1.0
952,1100,1.0
954,1100,-1.0
729,1101,-4.0
732,1101,4.0
948,1101,2.0
954,1101,-4.0
1216,1101,-1.0
771,1102,1.0
806,1102,1.0
946,1102,-1.0
1462,1102,-1.0
529,1103,1.0
765,1103,-1.0
939,1103,1.0
952,1103,-1.0
760,1104,-1.0
761,1104,1.0
952,1104,-1.0
1185,1104,1.0
1186,1104,-1.0
952,1105,-1.0
1185,1105,1.0
1186,1105,-1.0
1406,1105,1.0
1413,1105,-1.0
952,1106,-1.0
1183,1106,1.0
1184,1106,-1.0
1406,1106,1.0
1413,1106,-1.0
1,1107,-1.0
762,1107,1.0
952,1107,1.0
1128,1107,-1.0
1503,1107,1.0
459,1108,-1.0
719,1108,1.0
763,1108,-1.0
952,1108,-1.0
1350,1108,1.0
763,1109,-1.0
764,1109,1.0
952,1109,-1.0
1183,1109,1.0
1184,1109,-1.0
763,1110,-1.0
764,1110,1.0
952,1110,-1.0
1185,1110,1.0
1186,1110,-1.0
765,1111,1.0
767,1111,-1.0
952,1111,1.0
954,1111,-1.0
766,1112,-1.0
767,1112,1.0
765,1113,-1.0
767,1113,1.0
784,1114,-1.0
1151,1114,-1.0
1152,1114,1.0
1465,1114,1.0
128,1115,1.0
129,1115,-1.0
784,1115,-1.0
1465,1115,1.0
354,1116,1.0
459,1116,-1.0
715,1116,-1.0
726,1116,1.0
952,1116,1.0
777,1117,-1.0
806,1117,1.0
946,1117,-1.0
1068,1117,1.0
774,1118,1.0
1380,1118,-1.0
354,1119,1.0
459,1119,-1.0
774,1119,-1.0
777,1119,1.0
952,1119,1.0
774,1120,1.0
776,1120,-1.0
952,1120,1.0
954,1120,-1.0
775,1121,-1.0
776,1121,1.0
778,1122,1.0
780,1122,-1.0
952,1122,1.0
954,1122,-1.0
779,1123,-1.0
780,1123,1.0
716,1124,1.0
773,1124,-1.0
1289,1124,-1.0
1394,1124,1.0
715,1125,1.0
773,1125,-1.0
1289,1125,-1.0
1394,1125,1.0
772,1126,-1.0
773,1126,1.0
1,1127,-1.0
765,1127,1.0
946,1127,-1.0
952,1127,1.0
1503,1127,1.0
782,1128,-1.0
783,1128,1.0
781,1129,1.0
783,1129,-1.0
952,1129,1.0
954,1129,-1.0
784,1130,-1.0
946,1130,-1.0
1079,1130,1.0
784,1131,1.0
786,1131,-1.0
952,1131,2.0
954,1131,-2.0
784,1132,1.0
786,1132,-1.0
952,1132,3.0
954,1132,-3.0
