i,k,s,rxn,met
583,706,-1.0,NACPRT,nac_c
7,707,-1.0,NADDP,nad_c
8,707,2.0,NADDP,h_c
13,707,-1.0,NADDP,h2o_c
135,707,1.0,NADDP,amp_c
584,707,1.0,NADDP,nmn_c
8,708,-1.0,NMNS,h_c
136,708,1.0,NMNS,ppi_c
582,708,-1.0,NMNS,prpp_c
584,708,1.0,NMNS,nmn_c
585,708,-1.0,NMNS,ncam_c
8,709,1.0,RNMK,h_c
50,709,-1.0,RNMK,atp_c
52,709,1.0,RNMK,adp_c
584,709,1.0,RNMK,nmn_c
589,709,-1.0,RNMK,rnam_c
8,710,-1.0,THD1m,h_c
43,710,1.0,THD1m,h_m
44,710,-1.0,THD1m,nadh_m
45,710,1.0,THD1m,nadph_m
47,710,1.0,THD1m,nad_m
48,710,-1.0,THD1m,nadp_m
13,711,-1.0,ACGPID_cho,h2o_c
156,711,1.0,ACGPID_cho,ac_c
590,711,-1.0,ACGPID_cho,acgpail_cho_c
591,711,1.0,ACGPID_cho,gpail_cho_c
35,712,1.0,GPIAT_cho,coa_c
419,712,-1.0,GPIAT_cho,pmtcoa_c
591,712,-1.0,GPIAT_cho,gpail_cho_c
592,712,1.0,GPIAT_cho,gacpail_cho_c
63,713,-1.0,H2ETer_cho,mgacpail_cho_r
66,713,1.0,H2ETer_cho,emgacpail_cho_r
596,713,-1.0,H2ETer_cho,pe_cho_r
597,713,1.0,H2ETer_cho,dag_cho_r
59,714,1.0,H3ETer_cho,memgacpail_cho_r
64,714,-1.0,H3ETer_cho,m2gacpail_cho_r
596,714,-1.0,H3ETer_cho,pe_cho_r
597,714,1.0,H3ETer_cho,dag_cho_r
61,715,1.0,H4ETer_cho,m2emgacpail_cho_r
65,715,-1.0,H4ETer_cho,m3gacpail_cho_r
596,715,-1.0,H4ETer_cho,pe_cho_r
597,715,1.0,H4ETer_cho,dag_cho_r
596,716,-1.0,H6_ET2er_cho,pe_cho_r
597,716,1.0,H6_ET2er_cho,dag_cho_r
598,716,-1.0,H6_ET2er_cho,em3gacpail_cho_r
599,716,1.0,H6_ET2er_cho,emem2gacpail_cho_r
67,717,1.0,H6_ETer_cho,em2emgacpail_cho_r
596,717,-1.0,H6_ETer_cho,pe_cho_r
597,717,1.0,H6_ETer_cho,dag_cho_r
598,717,-1.0,H6_ETer_cho,em3gacpail_cho_r
68,718,1.0,H7_ETer_cho,gpi_cho_r
596,718,-1.0,H7_ETer_cho,pe_cho_r
597,718,1.0,H7_ETer_cho,dag_cho_r
599,718,-1.0,H7_ETer_cho,emem2gacpail_cho_r
67,719,-1.0,H7_TAer_cho,em2emgacpail_cho_r
593,719,1.0,H7_TAer_cho,em2emgacpail_prot_cho_r
600,719,-1.0,H7_TAer_cho,pre_prot_r
601,719,1.0,H7_TAer_cho,gpi_sig_r
67,720,-1.0,H7ET2er_cho,em2emgacpail_cho_r
68,720,1.0,H7ET2er_cho,gpi_cho_r
596,720,-1.0,H7ET2er_cho,pe_cho_r
597,720,1.0,H7ET2er_cho,dag_cho_r
68,721,-1.0,H8TAer_cho,gpi_cho_r
595,721,1.0,H8TAer_cho,gpi_prot_cho_r
600,721,-1.0,H8TAer_cho,pre_prot_r
601,721,1.0,H8TAer_cho,gpi_sig_r
13,722,-1.0,PI3PP_cho,h2o_c
53,722,1.0,PI3PP_cho,pi_c
602,722,-1.0,PI3PP_cho,pail3p_cho_c
603,722,1.0,PI3PP_cho,pail_cho_c
8,723,1.0,PIACGT_cho,h_c
555,723,-1.0,PIACGT_cho,uacgam_c
556,723,1.0,PIACGT_cho,udp_c
590,723,1.0,PIACGT_cho,acgpail_cho_c
603,723,-1.0,PIACGT_cho,pail_cho_c
2,724,1.0,RE1957R,h_r
386,724,-1.0,RE1957R,atp_r
604,724,-1.0,RE1957R,pail35p_cho_r
605,724,1.0,RE1957R,adp_r
606,724,1.0,RE1957R,pail345p_cho_r
43,725,1.0,RE2972M,h_m
131,725,-1.0,RE2972M,atp_m
607,725,-1.0,RE2972M,pail5p_cho_m
608,725,1.0,RE2972M,adp_m
609,725,1.0,RE2972M,pail45p_cho_m
354,726,1.0,RE2973N,h_n
611,726,-1.0,RE2973N,atp_n
612,726,-1.0,RE2973N,pail5p_cho_n
613,726,1.0,RE2973N,adp_n
614,726,1.0,RE2973N,pail35p_cho_n
8,727,1.0,RE3273C,h_c
13,727,-1.0,RE3273C,h2o_c
269,727,1.0,RE3273C,inost_c
603,727,-1.0,RE3273C,pail_cho_c
615,727,1.0,RE3273C,pa_cho_c
8,728,2.0,CTPS2,h_c
13,728,-1.0,CTPS2,h2o_c
50,728,-1.0,CTPS2,atp_c
52,728,1.0,CTPS2,adp_c
53,728,1.0,CTPS2,pi_c
121,728,1.0,CTPS2,glu_L_c
166,728,-1.0,CTPS2,gln_L_c
455,728,-1.0,CTPS2,utp_c
500,728,1.0,CTPS2,ctp_c
623,729,-1.0,RE0453N,dtdp_n
624,729,-1.0,RE0453N,datp_n
625,729,1.0,RE0453N,dadp_n
626,729,1.0,RE0453N,dttp_n
43,730,1.0,RE1530M,h_m
629,730,-1.0,RE1530M,duri_m
630,730,-1.0,RE1530M,dgtp_m
631,730,1.0,RE1530M,dgdp_m
632,730,1.0,RE1530M,dump_m
8,731,-1.0,RE2954C,h_c
304,731,1.0,RE2954C,pyr_c
633,731,-1.0,RE2954C,dtdp_c
634,731,-1.0,RE2954C,pep_c
635,731,1.0,RE2954C,dttp_c
8,732,1.0,URIK1,h_c
50,732,-1.0,URIK1,atp_c
52,732,1.0,URIK1,adp_c
337,732,-1.0,URIK1,uri_c
636,732,1.0,URIK1,ump_c
3,733,1.0,CAT,o2_c
5,733,-2.0,CAT,h2o2_c
13,733,2.0,CAT,h2o_c
3,734,1.0,SPODM,o2_c
5,734,1.0,SPODM,h2o2_c
8,734,-2.0,SPODM,h_c
637,734,-2.0,SPODM,o2s_c
351,735,1.0,SPODMn,o2_n
352,735,1.0,SPODMn,h2o2_n
354,735,-2.0,SPODMn,h_n
638,735,-2.0,SPODMn,o2s_n
56,736,-2.0,SPODMx,h_x
77,736,1.0,SPODMx,o2_x
78,736,1.0,SPODMx,h2o2_x
639,736,-2.0,SPODMx,o2s_x
136,737,1.0,URPT,ppi_c
334,737,-1.0,URPT,ura_c
582,737,-1.0,URPT,prpp_c
636,737,1.0,URPT,ump_c
458,738,-1.0,ASAH1_cho,h2o_l
641,738,-1.0,ASAH1_cho,crm_cho_l
642,738,1.0,ASAH1_cho,Rtotal_l
643,738,1.0,ASAH1_cho,sphings_l
106,739,1.0,B3GNT37g_cho,h_g
107,739,1.0,B3GNT37g_cho,udp_g
412,739,-1.0,B3GNT37g_cho,udpgal_g
644,739,-1.0,B3GNT37g_cho,gm2a_cho_g
645,739,1.0,B3GNT37g_cho,gm1a_cho_g
8,740,1.0,DHCRD1_cho,h_c
11,740,-1.0,DHCRD1_cho,nadp_c
12,740,1.0,DHCRD1_cho,nadph_c
646,740,-1.0,DHCRD1_cho,dhcrm_cho_c
647,740,1.0,DHCRD1_cho,crm_cho_c
646,741,-1.0,DHCRD2_cho,dhcrm_cho_c
647,741,1.0,DHCRD2_cho,crm_cho_c
648,741,-1.0,DHCRD2_cho,fad_c
649,741,1.0,DHCRD2_cho,fadh2_c
8,742,1.0,DSAT_cho,h_c
35,742,1.0,DSAT_cho,coa_c
399,742,-1.0,DSAT_cho,Rtotalcoa_c
646,742,1.0,DSAT_cho,dhcrm_cho_c
650,742,-1.0,DSAT_cho,sphgn_c
458,743,-1.0,GALC_cho,h2o_l
460,743,1.0,GALC_cho,gal_l
641,743,1.0,GALC_cho,crm_cho_l
651,743,-1.0,GALC_cho,galside_cho_l
13,744,-1.0,GBA_cho,h2o_c
248,744,1.0,GBA_cho,glc_D_c
647,744,1.0,GBA_cho,crm_cho_c
654,744,-1.0,GBA_cho,gluside_cho_c
458,745,-1.0,GBAl_cho,h2o_l
459,745,1.0,GBAl_cho,glc_D_l
641,745,1.0,GBAl_cho,crm_cho_l
655,745,-1.0,GBAl_cho,gluside_cho_l
3,746,-1.0,RE2675C,o2_c
7,746,1.0,RE2675C,nad_c
8,746,-1.0,RE2675C,h_c
10,746,-1.0,RE2675C,nadh_c
13,746,2.0,RE2675C,h2o_c
646,746,-1.0,RE2675C,dhcrm_cho_c
647,746,1.0,RE2675C,crm_cho_c
1,747,-1.0,SBPP1er,h2o_r
656,747,-1.0,SBPP1er,sph1p_r
657,747,1.0,SBPP1er,pi_r
658,747,1.0,SBPP1er,sphgn_r
1,748,-1.0,SBPP3er,h2o_r
657,748,1.0,SBPP3er,pi_r
659,748,-1.0,SBPP3er,sphs1p_r
660,748,1.0,SBPP3er,sphings_r
8,749,-1.0,SERPT,h_c
35,749,1.0,SERPT,coa_c
37,749,1.0,SERPT,co2_c
168,749,-1.0,SERPT,ser_L_c
419,749,-1.0,SERPT,pmtcoa_c
661,749,1.0,SERPT,3dsphgn_c
8,750,1.0,SLCBK1,h_c
50,750,-1.0,SLCBK1,atp_c
52,750,1.0,SLCBK1,adp_c
650,750,-1.0,SLCBK1,sphgn_c
663,750,1.0,SLCBK1,sph1p_c
458,751,-1.0,SMPD3l_cho,h2o_l
641,751,1.0,SMPD3l_cho,crm_cho_l
665,751,-1.0,SMPD3l_cho,sphmyln_cho_l
666,751,1.0,SMPD3l_cho,cholp_l
667,751,1.0,SMPD3l_cho,h_l
8,752,1.0,SMPD4_cho,h_c
13,752,-1.0,SMPD4_cho,h2o_c
668,752,-1.0,SMPD4_cho,spc_cho_c
669,752,1.0,SMPD4_cho,sphings_c
670,752,1.0,SMPD4_cho,cholp_c
8,753,1.0,SMPDE,h_c
13,753,-1.0,SMPDE,h2o_c
647,753,1.0,SMPDE,crm_cho_c
670,753,1.0,SMPDE,cholp_c
671,753,-1.0,SMPDE,sphmyln_cho_c
647,754,-1.0,SMS_cho,crm_cho_c
671,754,1.0,SMS_cho,sphmyln_cho_c
672,754,-1.0,SMS_cho,pchol_cho_c
673,754,1.0,SMS_cho,dag_cho_c
8,755,1.0,SPHK21c,h_c
50,755,-1.0,SPHK21c,atp_c
52,755,1.0,SPHK21c,adp_c
669,755,-1.0,SPHK21c,sphings_c
674,755,1.0,SPHK21c,sphs1p_c
13,756,-1.0,SPHMDAc_cho,h2o_c
668,756,1.0,SPHMDAc_cho,spc_cho_c
671,756,-1.0,SPHMDAc_cho,sphmyln_cho_c
675,756,1.0,SPHMDAc_cho,Rtotal_c
106,757,1.0,ST3GAL21g_cho,h_g
112,757,-1.0,ST3GAL21g_cho,cmpacna_g
114,757,1.0,ST3GAL21g_cho,cmp_g
676,757,-1.0,ST3GAL21g_cho,ga1_cho_g
677,757,1.0,ST3GAL21g_cho,gm1b_cho_g
106,758,1.0,ST3GAL22g_cho,h_g
112,758,-1.0,ST3GAL22g_cho,cmpacna_g
114,758,1.0,ST3GAL22g_cho,cmp_g
678,758,-1.0,ST3GAL22g_cho,gm1_cho_g
679,758,1.0,ST3GAL22g_cho,gd1a_cho_g
106,759,1.0,ST3GAL23g_cho,h_g
112,759,-1.0,ST3GAL23g_cho,cmpacna_g
114,759,1.0,ST3GAL23g_cho,cmp_g
680,759,-1.0,ST3GAL23g_cho,gd1b_cho_g
681,759,1.0,ST3GAL23g_cho,gt1b_cho_g
106,760,1.0,ST6GALNAC21_cho,h_g
112,760,-1.0,ST6GALNAC21_cho,cmpacna_g
114,760,1.0,ST6GALNAC21_cho,cmp_g
662,760,-1.0,ST6GALNAC21_cho,acngalgbside_cho_g
682,760,1.0,ST6GALNAC21_cho,acn13acngalgbside_cho_g
106,761,1.0,ST6GALNAC22_cho,h_g
112,761,-1.0,ST6GALNAC22_cho,cmpacna_g
114,761,1.0,ST6GALNAC22_cho,cmp_g
662,761,-1.0,ST6GALNAC22_cho,acngalgbside_cho_g
683,761,1.0,ST6GALNAC22_cho,acn23acngalgbside_cho_g
106,762,1.0,ST6GALNAC23_cho,h_g
112,762,-1.0,ST6GALNAC23_cho,cmpacna_g
114,762,1.0,ST6GALNAC23_cho,cmp_g
644,762,1.0,ST6GALNAC23_cho,gm2a_cho_g
684,762,-1.0,ST6GALNAC23_cho,ga2_cho_g
106,763,1.0,ST6GALNAC24_cho,h_g
112,763,-1.0,ST6GALNAC24_cho,cmpacna_g
114,763,1.0,ST6GALNAC24_cho,cmp_g
645,763,-1.0,ST6GALNAC24_cho,gm1a_cho_g
685,763,1.0,ST6GALNAC24_cho,gd1b2_cho_g
106,764,1.0,ST6GALNAC31_cho,h_g
112,764,-1.0,ST6GALNAC31_cho,cmpacna_g
114,764,1.0,ST6GALNAC31_cho,cmp_g
677,764,-1.0,ST6GALNAC31_cho,gm1b_cho_g
679,764,1.0,ST6GALNAC31_cho,gd1a_cho_g
106,765,1.0,ST6GALNAC62_cho,h_g
112,765,-1.0,ST6GALNAC62_cho,cmpacna_g
114,765,1.0,ST6GALNAC62_cho,cmp_g
681,765,-1.0,ST6GALNAC62_cho,gt1b_cho_g
686,765,1.0,ST6GALNAC62_cho,gq1balpha_cho_g
2,766,1.0,UGCG_cho,h_r
416,766,1.0,UGCG_cho,udp_r
688,766,-1.0,UGCG_cho,crm_cho_r
689,766,-1.0,UGCG_cho,udpg_r
690,766,1.0,UGCG_cho,gluside_cho_r
8,767,1.0,UGCGc,h_c
461,767,-1.0,UGCGc,udpg_c
556,767,1.0,UGCGc,udp_c
647,767,-1.0,UGCGc,crm_cho_c
654,767,1.0,UGCGc,gluside_cho_c
37,768,1.0,DPMVDc,co2_c
50,768,-1.0,DPMVDc,atp_c
52,768,1.0,DPMVDc,adp_c
53,768,1.0,DPMVDc,pi_c
497,768,1.0,DPMVDc,ipdp_c
691,768,-1.0,DPMVDc,5dpmev_c
8,769,-2.0,HMGCOARc,h_c
11,769,2.0,HMGCOARc,nadp_c
12,769,-2.0,HMGCOARc,nadph_c
35,769,1.0,HMGCOARc,coa_c
406,769,-1.0,HMGCOARc,hmgcoa_c
692,769,1.0,HMGCOARc,mev_R_c
8,770,1.0,MEVK1c,h_c
50,770,-1.0,MEVK1c,atp_c
52,770,1.0,MEVK1c,adp_c
692,770,-1.0,MEVK1c,mev_R_c
693,770,1.0,MEVK1c,5pmev_c
50,771,-1.0,PMEVKc,atp_c
52,771,1.0,PMEVKc,adp_c
691,771,1.0,PMEVKc,5dpmev_c
693,771,-1.0,PMEVKc,5pmev_c
8,772,1.0,DHEASULT,h_c
15,772,-1.0,DHEASULT,paps_c
16,772,1.0,DHEASULT,pap_c
218,772,1.0,DHEASULT,dheas_c
695,772,-1.0,DHEASULT,dhea_c
2,773,-1.0,HSD17B7r,h_r
30,773,-1.0,HSD17B7r,nadph_r
32,773,1.0,HSD17B7r,nadp_r
699,773,-1.0,HSD17B7r,estrone_r
700,773,1.0,HSD17B7r,estradiol_r
2,774,1.0,HSD3B12r,h_r
391,774,-1.0,HSD3B12r,nad_r
393,774,1.0,HSD3B12r,nadh_r
697,774,1.0,HSD3B12r,andrstndn_r
703,774,-1.0,HSD3B12r,dhea_r
43,775,-1.0,P45011A1m,h_m
45,775,-1.0,P45011A1m,nadph_m
46,775,2.0,P45011A1m,h2o_m
48,775,1.0,P45011A1m,nadp_m
370,775,-2.0,P45011A1m,o2_m
371,775,-1.0,P45011A1m,chsterol_m
704,775,1.0,P45011A1m,4mptnl_m
705,775,1.0,P45011A1m,prgnlone_m
43,776,-1.0,P45011B11m,h_m
45,776,-1.0,P45011B11m,nadph_m
46,776,1.0,P45011B11m,h2o_m
48,776,1.0,P45011B11m,nadp_m
370,776,-1.0,P45011B11m,o2_m
706,776,-1.0,P45011B11m,11docrtstrn_m
707,776,1.0,P45011B11m,crtstrn_m
43,777,-1.0,P45011B12m,h_m
45,777,-1.0,P45011B12m,nadph_m
46,777,1.0,P45011B12m,h2o_m
48,777,1.0,P45011B12m,nadp_m
370,777,-1.0,P45011B12m,o2_m
708,777,-1.0,P45011B12m,11docrtsl_m
