i,k,s,met,rxn
8,1,-1.0,acald,ACALD
10,1,1.0,accoa,ACALD
21,1,-1.0,coa,ACALD
43,1,1.0,h,ACALD
50,1,-1.0,nad,ACALD
51,1,1.0,nadh,ACALD
8,2,1.0,acald,ACALDt
9,2,-1.0,acald[e],ACALDt
6,3,-1.0,ac,ACKr
12,3,1.0,actp,ACKr
13,3,1.0,adp,ACKr
17,3,-1.0,atp,ACKr
11,4,1.0,acon-C,ACONTa
18,4,-1.0,cit,ACONTa
41,4,1.0,h2o,ACONTa
11,5,-1.0,acon-C,ACONTb
41,5,-1.0,h2o,ACONTb
45,5,1.0,icit,ACONTb
6,6,1.0,ac,ACt2r
7,6,-1.0,ac(e),ACt2r
43,6,1.0,h,ACt2r
44,6,-1.0,h(e),ACt2r
13,7,2.0,adp,ADK1
16,7,-1.0,amp,ADK1
17,7,-1.0,atp,ADK1
14,8,-1.0,akg,AKGDH
19,8,1.0,co2,AKGDH
21,8,-1.0,coa,AKGDH
50,8,-1.0,nad,AKGDH
51,8,1.0,nadh,AKGDH
71,8,1.0,succoa,AKGDH
14,9,1.0,akg,AKGt2r
15,9,-1.0,akg(e),AKGt2r
43,9,1.0,h,AKGt2r
44,9,-1.0,h(e),AKGt2r
8,10,1.0,acald,ALCD2x
24,10,-1.0,etoh,ALCD2x
43,10,1.0,h,ALCD2x
50,10,-1.0,nad,ALCD2x
51,10,1.0,nadh,ALCD2x
13,11,1.0,adp,ATPM
17,11,-1.0,atp,ATPM
41,11,-1.0,h2o,ATPM
43,11,1.0,h,ATPM
60,11,1.0,pi,ATPM
13,12,-1.0,adp,ATPS4r
17,12,1.0,atp,ATPS4r
41,12,1.0,h2o,ATPS4r
43,12,3.0,h,ATPS4r
44,12,-4.0,h(e),ATPS4r
60,12,-1.0,pi,ATPS4r
19,13,1.0,co2,CO2t
20,13,-1.0,co2(e),CO2t
10,14,-1.0,accoa,CS
18,14,1.0,cit,CS
21,14,1.0,coa,CS
41,14,-1.0,h2o,CS
43,14,1.0,h,CS
58,14,-1.0,oaa,CS
41,15,1.0,h2o,CYTBD
43,15,-2.0,h,CYTBD
44,15,2.0,h(e),CYTBD
56,15,-0.5,o2,CYTBD
64,15,1.0,q8,CYTBD
65,15,-1.0,q8h2,CYTBD
43,16,1.0,h,D-LACt2
44,16,-1.0,h(e),D-LACt2
46,16,1.0,lac-D,D-LACt2
47,16,-1.0,lac-D(e),D-LACt2
2,17,-1.0,2pg,ENO
41,17,1.0,h2o,ENO
59,17,1.0,pep,ENO
24,18,1.0,etoh,ETOHt2r
25,18,-1.0,etoh(e),ETOHt2r
43,18,1.0,h,ETOHt2r
44,18,-1.0,h(e),ETOHt2r
7,19,-1.0,ac(e),EX_ac(e)
9,20,-1.0,acald[e],EX_acald(e)
15,21,-1.0,akg(e),EX_akg(e)
20,22,-1.0,co2(e),EX_co2(e)
25,23,-1.0,etoh(e),EX_etoh(e)
29,24,-1.0,for(e),EX_for(e)
30,25,-1.0,fru[e],EX_fru(e)
32,26,-1.0,fum(e),EX_fum(e)
35,27,-1.0,glc-D(e),EX_glc(e)
37,28,-1.0,gln-L(e),EX_gln_L(e)
39,29,-1.0,glu-L(e),EX_glu_L(e)
44,30,-1.0,h(e),EX_h(e)
42,31,-1.0,h2o(e),EX_h2o(e)
47,32,-1.0,lac-D(e),EX_lac_D(e)
49,33,-1.0,mal-L[e],EX_mal_L(e)
55,34,-1.0,nh4(e),EX_nh4(e)
57,35,-1.0,o2(e),EX_o2(e)
61,36,-1.0,pi(e),EX_pi(e)
63,37,-1.0,pyr(e),EX_pyr(e)
70,38,-1.0,succ(e),EX_succ(e)
22,39,1.0,dhap,FBA
27,39,-1.0,fdp,FBA
33,39,1.0,g3p,FBA
26,40,1.0,f6p,FBP
27,40,-1.0,fdp,FBP
41,40,-1.0,h2o,FBP
60,40,1.0,pi,FBP
28,41,1.0,for,FORt2
29,41,-1.0,for(e),FORt2
43,41,1.0,h,FORt2
44,41,-1.0,h(e),FORt2
28,42,-1.0,for,FORti
29,42,1.0,for(e),FORti
31,43,-1.0,fum,FRD7
64,43,1.0,q8,FRD7
65,43,-1.0,q8h2,FRD7
69,43,1.0,succ,FRD7
26,44,1.0,f6p,FRUpts2
30,44,-1.0,fru[e],FRUpts2
59,44,-1.0,pep,FRUpts2
62,44,1.0,pyr,FRUpts2
31,45,-1.0,fum,FUM
41,45,-1.0,h2o,FUM
48,45,1.0,mal-L,FUM
31,46,1.0,fum,FUMt2_2
32,46,-1.0,fum(e),FUMt2_2
43,46,2.0,h,FUMt2_2
44,46,-2.0,h(e),FUMt2_2
5,47,1.0,6pgl,G6PDH2r
34,47,-1.0,g6p,G6PDH2r
43,47,1.0,h,G6PDH2r
52,47,-1.0,nadp,G6PDH2r
53,47,1.0,nadph,G6PDH2r
1,48,1.0,13dpg,GAPD
33,48,-1.0,g3p,GAPD
43,48,1.0,h,GAPD
50,48,-1.0,nad,GAPD
51,48,1.0,nadh,GAPD
60,48,-1.0,pi,GAPD
34,49,1.0,g6p,GLCpts
35,49,-1.0,glc-D(e),GLCpts
59,49,-1.0,pep,GLCpts
62,49,1.0,pyr,GLCpts
13,50,1.0,adp,GLNS
17,50,-1.0,atp,GLNS
36,50,1.0,gln-L,GLNS
38,50,-1.0,glu-L,GLNS
43,50,1.0,h,GLNS
54,50,-1.0,nh4,GLNS
60,50,1.0,pi,GLNS
13,51,1.0,adp,GLNabc
17,51,-1.0,atp,GLNabc
36,51,1.0,gln-L,GLNabc
37,51,-1.0,gln-L(e),GLNabc
41,51,-1.0,h2o,GLNabc
43,51,1.0,h,GLNabc
60,51,1.0,pi,GLNabc
14,52,1.0,akg,GLUDy
38,52,-1.0,glu-L,GLUDy
41,52,-1.0,h2o,GLUDy
43,52,1.0,h,GLUDy
52,52,-1.0,nadp,GLUDy
53,52,1.0,nadph,GLUDy
54,52,1.0,nh4,GLUDy
36,53,-1.0,gln-L,GLUN
38,53,1.0,glu-L,GLUN
41,53,-1.0,h2o,GLUN
54,53,1.0,nh4,GLUN
14,54,-1.0,akg,GLUSy
36,54,-1.0,gln-L,GLUSy
38,54,2.0,glu-L,GLUSy
43,54,-1.0,h,GLUSy
52,54,1.0,nadp,GLUSy
53,54,-1.0,nadph,GLUSy
38,55,1.0,glu-L,GLUt2r
39,55,-1.0,glu-L(e),GLUt2r
43,55,1.0,h,GLUt2r
44,55,-1.0,h(e),GLUt2r
4,56,-1.0,6pgc,GND
19,56,1.0,co2,GND
52,56,-1.0,nadp,GND
53,56,1.0,nadph,GND
67,56,1.0,ru5p-D,GND
41,57,1.0,h2o,H2Ot
42,57,-1.0,h2o(e),H2Ot
14,58,1.0,akg,ICDHyr
19,58,1.0,co2,ICDHyr
45,58,-1.0,icit,ICDHyr
52,58,-1.0,nadp,ICDHyr
53,58,1.0,nadph,ICDHyr
40,59,1.0,glx,ICL
45,59,-1.0,icit,ICL
69,59,1.0,succ,ICL
43,60,1.0,h,LDH_D
46,60,-1.0,lac-D,LDH_D
50,60,-1.0,nad,LDH_D
51,60,1.0,nadh,LDH_D
62,60,1.0,pyr,LDH_D
10,61,-1.0,accoa,MALS
21,61,1.0,coa,MALS
40,61,-1.0,glx,MALS
41,61,-1.0,h2o,MALS
43,61,1.0,h,MALS
48,61,1.0,mal-L,MALS
43,62,2.0,h,MALt2_2
44,62,-2.0,h(e),MALt2_2
48,62,1.0,mal-L,MALt2_2
49,62,-1.0,mal-L[e],MALt2_2
43,63,1.0,h,MDH
48,63,-1.0,mal-L,MDH
50,63,-1.0,nad,MDH
51,63,1.0,nadh,MDH
58,63,1.0,oaa,MDH
19,64,1.0,co2,ME1
48,64,-1.0,mal-L,ME1
50,64,-1.0,nad,ME1
51,64,1.0,nadh,ME1
62,64,1.0,pyr,ME1
19,65,1.0,co2,ME2
48,65,-1.0,mal-L,ME2
52,65,-1.0,nadp,ME2
53,65,1.0,nadph,ME2
62,65,1.0,pyr,ME2
43,66,-4.0,h,NADH16
44,66,3.0,h(e),NADH16
50,66,1.0,nad,NADH16
51,66,-1.0,nadh,NADH16
64,66,-1.0,q8,NADH16
65,66,1.0,q8h2,NADH16
50,67,-1.0,nad,NADTRHD
51,67,1.0,nadh,NADTRHD
52,67,1.0,nadp,NADTRHD
53,67,-1.0,nadph,NADTRHD
54,68,1.0,nh4,NH4t
55,68,-1.0,nh4(e),NH4t
56,69,1.0,o2,O2t
57,69,-1.0,o2(e),O2t
10,70,1.0,accoa,PDH
19,70,1.0,co2,PDH
21,70,-1.0,coa,PDH
50,70,-1.0,nad,PDH
51,70,1.0,nadh,PDH
62,70,-1.0,pyr,PDH
13,71,1.0,adp,PFK
17,71,-1.0,atp,PFK
26,71,-1.0,f6p,PFK
27,71,1.0,fdp,PFK
43,71,1.0,h,PFK
10,72,1.0,accoa,PFL
21,72,-1.0,coa,PFL
28,72,1.0,for,PFL
