i,k,s,met,rxn
62,72,-1.0,pyr,PFL
26,73,1.0,f6p,PGI
34,73,-1.0,g6p,PGI
1,74,1.0,13dpg,PGK
3,74,-1.0,3pg,PGK
13,74,1.0,adp,PGK
17,74,-1.0,atp,PGK
4,75,1.0,6pgc,PGL
5,75,-1.0,6pgl,PGL
41,75,-1.0,h2o,PGL
43,75,1.0,h,PGL
2,76,-1.0,2pg,PGM
3,76,1.0,3pg,PGM
43,77,1.0,h,PIt2r
44,77,-1.0,h(e),PIt2r
60,77,1.0,pi,PIt2r
61,77,-1.0,pi(e),PIt2r
19,78,-1.0,co2,PPC
41,78,-1.0,h2o,PPC
43,78,1.0,h,PPC
58,78,1.0,oaa,PPC
59,78,-1.0,pep,PPC
60,78,1.0,pi,PPC
13,79,1.0,adp,PPCK
17,79,-1.0,atp,PPCK
19,79,1.0,co2,PPCK
58,79,-1.0,oaa,PPCK
59,79,1.0,pep,PPCK
16,80,1.0,amp,PPS
17,80,-1.0,atp,PPS
41,80,-1.0,h2o,PPS
43,80,2.0,h,PPS
59,80,1.0,pep,PPS
60,80,1.0,pi,PPS
62,80,-1.0,pyr,PPS
10,81,-1.0,accoa,PTAr
12,81,1.0,actp,PTAr
21,81,1.0,coa,PTAr
60,81,-1.0,pi,PTAr
13,82,-1.0,adp,PYK
17,82,1.0,atp,PYK
43,82,-1.0,h,PYK
59,82,-1.0,pep,PYK
62,82,1.0,pyr,PYK
43,83,1.0,h,PYRt2r
44,83,-1.0,h(e),PYRt2r
62,83,1.0,pyr,PYRt2r
63,83,-1.0,pyr(e),PYRt2r
67,84,-1.0,ru5p-D,RPE
72,84,1.0,xu5p-D,RPE
66,85,-1.0,r5p,RPI
67,85,1.0,ru5p-D,RPI
43,86,2.0,h,SUCCt2_2
44,86,-2.0,h(e),SUCCt2_2
69,86,1.0,succ,SUCCt2_2
70,86,-1.0,succ(e),SUCCt2_2
43,87,1.0,h,SUCCt3
44,87,-1.0,h(e),SUCCt3
69,87,-1.0,succ,SUCCt3
70,87,1.0,succ(e),SUCCt3
31,88,1.0,fum,SUCDi
64,88,-1.0,q8,SUCDi
65,88,1.0,q8h2,SUCDi
69,88,-1.0,succ,SUCDi
13,89,1.0,adp,SUCOAS
17,89,-1.0,atp,SUCOAS
21,89,-1.0,coa,SUCOAS
60,89,1.0,pi,SUCOAS
69,89,-1.0,succ,SUCOAS
71,89,1.0,succoa,SUCOAS
23,90,1.0,e4p,TALA
26,90,1.0,f6p,TALA
33,90,-1.0,g3p,TALA
68,90,-1.0,s7p,TALA
43,91,2.0,h,THD2
44,91,-2.0,h(e),THD2
50,91,1.0,nad,THD2
51,91,-1.0,nadh,THD2
52,91,-1.0,nadp,THD2
53,91,1.0,nadph,THD2
33,92,1.0,g3p,TKT1
66,92,-1.0,r5p,TKT1
68,92,1.0,s7p,TKT1
72,92,-1.0,xu5p-D,TKT1
23,93,-1.0,e4p,TKT2
26,93,1.0,f6p,TKT2
33,93,1.0,g3p,TKT2
72,93,-1.0,xu5p-D,TKT2
22,94,-1.0,dhap,TPI
33,94,1.0,g3p,TPI
